iso3,unidad,orden,modo,alcance,porcion_dias,porcion_fraccion,iniciativa,veto_empleador,default_ante_silencio,resolucion_desacuerdo,instrumento,literal_normativo
ARG,Buenos Aires,1,particion,todo_el_derecho,,,empleador,,,,ley,"Art. 154 LCT: 'El empleador debera conceder el goce de vacaciones de cada ano dentro del periodo comprendido entre el 1 de octubre y el 30 de abril del ano siguiente', notificando por escrito la fecha de iniciacion. Art. 151: la licencia 'comenzara en dia lunes o el siguiente habil'."
AUS,Sídney,1,particion,todo_el_derecho,,,negociada,,,limite_razonabilidad,ley,s. 88(1) 'Paid annual leave may be taken for a period agreed between an employee and his or her employer.' s. 88(2) 'The employer must not unreasonably refuse to agree to a request by the employee to take paid annual leave.'
AUT,Viena,1,particion,todo_el_derecho,,,negociada,,,sin_regla,ley,"UrlG §4 Abs 1: el momento del inicio del permiso se ACUERDA entre empleador y trabajador atendiendo a las necesidades de la empresa y a las posibilidades de descanso del trabajador. No hay solicitud del trabajador con veto, como en Alemania: hay acuerdo, como en Turquia."
BEL,Bruselas,1,particion,todo_el_derecho,,,negociada,,,sin_regla,acuerdo_individual,"AR 30.03.1967 art. 63, ultimo nivel: 'En l'absence de decision prise a ces divers niveaux, les dispositions resulteront d'un accord individuel entre l'employeur et le travailleur.'"
BGR,Sofía,1,particion,todo_el_derecho,,,trabajador,discrecional,no_aprobado,,ley,"чл. 173 КТ: 'платеният годишен отпуск се ползва от работника или служителя с писмено разрешение от работодателя' - el permiso se disfruta con autorizacion ESCRITA del empleador, sobre un calendario que el empleador aprueba antes del 31 de diciembre del ano anterior."
BGR,Sofía,1,particion,todo_el_derecho,,,empleador,,,,ley,"[version anterior] CLT art. 134 caput: 'As ferias serao concedidas por ato do empregador, em um so periodo, nos 12 (doze) meses subsequentes a data em que o empregado tiver adquirido o direito.' Art. 136: 'A epoca da concessao das ferias sera a que melhor consulte os interesses do empregador.' Art. 134 §1 (Lei 13.467/2017): 'Desde que haja concordancia do empregado, as ferias poderao ser usufruidas em ate tres periodos, sendo que um deles nao podera ser inferior a quatorze dias corridos e os demais nao poderao ser inferiores a cinco dias corridos, cada um.'"
BRA,São Paulo,1,particion,todo_el_derecho,,,empleador,,,,ley,"CLT art. 134 caput: 'As ferias serao concedidas por ato do empregador, em um so periodo, nos 12 (doze) meses subsequentes a data em que o empregado tiver adquirido o direito.' Art. 136: 'A epoca da concessao das ferias sera a que melhor consulte os interesses do empregador.' Art. 134 §1 (Lei 13.467/2017): 'Desde que haja concordancia do empregado, as ferias poderao ser usufruidas em ate tres periodos, sendo que um deles nao podera ser inferior a quatorze dias corridos e os demais nao poderao ser inferiores a cinco dias corridos, cada um.'"
CAN,Toronto,1,particion,todo_el_derecho,,,empleador,,,,ley,Section 35 gives employers the right and the obligation to determine when an employee may take the vacation earned; the employee has no right to take a vacation on their own initiative. Vacation must be given in periods of at least one week unless the employee requests less in writing and the employer agrees
CAN,Toronto,1,particion,todo_el_derecho,,,trabajador,discrecional,sin_regla,,ley,"[version anterior] Yillik Ucretli Izin Yonetmeligi m. 7/1: «Isci [...] yillik ucretli iznini, kullanmak istedigi zamandan en az bir ay once isverene yazili olarak bildirir» —el trabajador comunica por escrito, con al menos un mes de antelacion, cuando quiere tomarla—. Y m. 8/2: «Izin kurulu veya isveren, iscinin istedigi izin kullanma tarihi ile bagli degildir» —la comision o el empleador NO quedan vinculados por la fecha solicitada—, si bien los cuadros se preparan «iscinin talebi ve is durumu dikkate alinarak», considerando la solicitud y la situacion del trabajo."
CHE,Zúrich,1,particion,todo_el_derecho,,,empleador,,,,ley,"Der Arbeitgeber bestimmt den Zeitpunkt der Ferien und nimmt dabei auf die Wuensche des Arbeitnehmers soweit Ruecksicht, als dies mit den Interessen des Betriebes oder Haushaltes vereinbar ist (Art. 329c Abs. 2 OR); die Ferien sind in der Regel im Verlauf des betreffenden Dienstjahres zu gewaehren, wenigstens zwei Ferienwochen muessen zusammenhaengen (Art. 329c Abs. 1)"
CHL,Santiago,1,particion,todo_el_derecho,,,empleador,,,,ley,"Art. 67 in fine: 'El feriado se concedera de preferencia en primavera o verano, considerandose las necesidades del servicio.' Art. 70: 'El feriado debera ser continuo, pero el exceso sobre diez dias habiles podra fraccionarse de comun acuerdo.'"
COL,Bogotá,1,particion,todo_el_derecho,,,empleador,,,,ley,"La epoca de vacaciones debe ser senalada por el empleador a mas tardar dentro del ano subsiguiente, y ellas deben ser concedidas oficiosamente o a peticion del trabajador, sin perjudicar el servicio y la efectividad del descanso. El empleador tiene que dar a conocer con quince (15) dias de anticipacion la fecha en que le concedera las vacaciones."
CRI,San José,1,particion,todo_el_derecho,,,empleador,,,,ley,"El patrono senalara la epoca en que el trabajador gozara de sus vacaciones, pero debera hacerlo dentro de las quince semanas posteriores al dia en que se cumplan las cincuenta semanas de servicio continuo, tratando de que no se altere la buena marcha del centro de trabajo ni la efectividad del descanso."
CZE,Praga,1,particion,todo_el_derecho,,,empleador,,,,ley,"Dobu cerpani dovolene urcuje zamestnavatel (§ 217 odst. 1), atendiendo a razones operativas y a los intereses legitimos del trabajador; si la fracciona, una parte ha de ser de al menos 2 semanas continuas salvo pacto; aviso con al menos 14 dias. § 218 odst. 3: si el empleador no ha determinado el disfrute hasta el 30 de junio del ano siguiente, el trabajador puede determinarlo el mismo avisando con 14 dias."
DEU,Berlín,1,particion,todo_el_derecho,,,trabajador,causal_operativa,sin_regla,,ley,"Bei der zeitlichen Festlegung des Urlaubs sind die Urlaubswuensche des Arbeitnehmers zu beruecksichtigen, es sei denn, dass ihrer Beruecksichtigung dringende betriebliche Belange oder Urlaubswuensche anderer Arbeitnehmer, die unter sozialen Gesichtspunkten den Vorrang verdienen, entgegenstehen (BUrlG 7 Abs. 1)"
DNK,Copenhague,1,particion,todo_el_derecho,,,empleador,,,,ley,"Arbejdsgiveren fastsaetter efter forhandling med lonmodtageren, hvornar ferien skal holdes i ferieafholdelsesperioden. Arbejdsgiveren skal under hensyntagen til virksomhedens drift sa vidt muligt imodekomme lonmodtagerens onske om, hvornar ferien skal holdes — el empleador fija, previa negociacion con el trabajador, cuando se toman las vacaciones, y debe atender en lo posible sus deseos habida cuenta de la marcha de la empresa."
DOM,Santo Domingo,1,particion,todo_el_derecho,,,empleador,,,,ley,"Los empleadores deben fijar y distribuir, durante los primeros quince dias del mes de enero, los periodos de vacaciones de sus trabajadores (art. 186); el empleador puede variar, en caso de necesidad, la distribucion del periodo de vacaciones, pero por ninguna circunstancia los trabajadores dejaran de disfrutar integramente de las vacaciones dentro de los seis meses de la fecha de adquisicion del derecho (art. 188)"
ECU,Guayaquil,1,particion,todo_el_derecho,,,empleador,,,,ley,"En el contrato se hara constar el periodo en que el trabajador comenzara a gozar de vacaciones. No habiendo contrato escrito o tal senalamiento, el empleador hara conocer al trabajador, con tres meses de anticipacion, el periodo en que le concedera la vacacion."
ESP,Madrid,1,particion,todo_el_derecho,,,negociada,,,tercero_dirime,ley,"El periodo o periodos de su disfrute se fijara de comun acuerdo entre el empresario y el trabajador, de conformidad con lo establecido en su caso en los convenios colectivos sobre planificacion anual de las vacaciones. En caso de desacuerdo entre las partes, la jurisdiccion social fijara la fecha que para el disfrute corresponda y su decision sera irrecurrible."
FIN,Helsinki,1,particion,todo_el_derecho,,,empleador,,,,ley,"Vuosiloma annetaan tyontekijalle tyonantajan maaraamana ajankohtana, jolleivat tyonantaja ja tyontekija sovi loman pitamisesta 21 §:ssa tarkoitetulla tavalla. Vuosilomasta 24 arkipaivaa on sijoitettava lomakaudelle (kesaloma). (20 §) — Ennen loman ajankohdan maaraamista tyonantajan on varattava tyontekijalle tilaisuus esittaa mielipiteensa loman ajankohdasta. (22 §) — Tyonantajan maaratessa loman ajankohdan hanen on ilmoitettava siita tyontekijalle viimeistaan kuukautta ennen loman alkamista. (23 §)"
FRA,París,1,particion,todo_el_derecho,,,empleador,,,,ley,"A defaut de stipulation dans la convention ou l'accord conclus en application de l'article L. 3141-15, l'employeur : 1° Definit apres avis, le cas echeant, du comite social et economique : a) La periode de prise des conges ; b) L'ordre des departs (...) 2° Ne peut, sauf en cas de circonstances exceptionnelles, modifier l'ordre et les dates de depart moins d'un mois avant la date de depart prevue. (L3141-16)"
GBR,Londres,1,particion,todo_el_derecho,,,trabajador,discrecional,aprobado,,ley,reg 15(1) a worker may take leave on such days as he may elect by giving notice to his employer; reg 15(2) the employer may require the worker to take or not take leave on particular days by giving counter-notice; reg 15(4) counter-notice at least as many days in advance as the days of leave; reg 15(5) any right or obligation under (1)-(4) may be varied or excluded by a relevant agreement
GRC,Atenas,1,particion,todo_el_derecho,,,negociada,,,trabajador_prevalece,ley,"Η χρονικη περιοδος χορηγησης της αδειας κανονιζεται μεταξυ του εργοδοτη και του εργαζομενου· ο πρωτος ειναι υποχρεωμενος να χορηγησει την αδεια που ζητηθηκε το πολυ εντος διμηνου απο τη διατυπωση της σχετικης αιτησης απο τον δευτερο. Παντως, το ημισυ τουλαχιστον εκεινων που δικαιουνται αδεια καθε ετος σε καθε επιχειρηση πρεπει να ικανοποιουνται μεσα στο χρονικο διαστημα απο την 1η Μαιου μεχρι 30 Σεπτεμβριου. (αρθρο 224 παρ. 1) — El periodo de disfrute se ARREGLA ENTRE el empleador y el trabajador; el primero esta obligado a conceder la vacacion solicitada en un plazo maximo de dos meses desde la solicitud del segundo. En todo caso, al menos la mitad de quienes tienen derecho cada anio en cada empresa debe verla satisfecha entre el 1 de mayo y el 30 de septiembre."
GTM,Ciudad de Guatemala,1,particion,todo_el_derecho,,,empleador,,,,ley,Las vacaciones deben gozarse dentro de los sesenta dias siguientes a completar el anio; los trabajadores deben gozarlas sin interrupciones y solo estan obligados a dividirlas en dos partes como maximo cuando se trate de labores de indole especial (art. 136)
HND,Tegucigalpa,1,particion,todo_el_derecho,,,empleador,,,,ley,"La epoca de las vacaciones debe ser senalada por el patrono, a mas tardar dentro de los tres (3) meses siguientes a la fecha en que se tiene derecho a vacaciones, y ellas deben ser concedidas oficiosamente o a peticion del trabajador, sin perjudicar el servicio y la efectividad del descanso. El patrono dara a conocer al trabajador, con diez (10) dias de anticipacion, la fecha en que le concedera las vacaciones. (art. 348)"
HUN,Budapest,1,particion,porcion_definida,7.0,,trabajador,ninguno,sin_regla,,ley,"122. § (2) A munkaltato evente het munkanap szabadsagot – a munkaviszony elso harom honapjat kiveve – legfeljebb ket reszletben a munkavallalo kereseinek megfelelo idopontban koteles kiadni. A munkavallalonak erre vonatkozo igenyet legalabb tizenot nappal a szabadsag kezdete elott be kell jelentenie. — El empleador esta OBLIGADO a conceder cada anio siete dias de trabajo de vacaciones, en un maximo de dos tramos, en el momento que pida el trabajador, salvo en los tres primeros meses de la relacion. El trabajador debe anunciarlo con quince dias de antelacion."
HUN,Budapest,2,particion,residual,,,empleador,,,,ley,"122. § (1) A szabadsagot – a munkavallalo elozetes meghallgatasa utan – a munkaltato adja ki. — Las vacaciones las concede el empleador, previa audiencia del trabajador. (4) La fecha debe comunicarse al trabajador al menos quince dias antes del inicio."
IDN,Yakarta,1,particion,porcion_definida,8.0,,asignacion_estatal,,,,ley,Cuti bersama merupakan bagian dari cuti tahunan — el descanso colectivo decretado es parte del derecho anual y descuenta del saldo
IDN,Yakarta,2,particion,residual,,,negociada,,,remitido_a_convenio,acuerdo_individual,"pelaksanaan cuti tahunan diatur dalam perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama (pasal 79 ayat 4)"
IRL,Dublín,1,particion,todo_el_derecho,,,empleador,,,,ley,"The times at which annual leave is granted to an employee shall be determined by his or her employer having regard to work requirements and subject (a) to the employer taking into account (i) the need for the employee to reconcile work and any family responsibilities, (ii) the opportunities for rest and recreation available to the employee, (b) to the employer having consulted the employee or the trade union (if any) of which he or she is a member, not later than 1 month before the day on which the annual leave (...) is due to commence, and (c) to the leave being granted within the leave year to which it relates or, with the consent of the employee, within the 6 months thereafter. (s.20(1))"
ISR,Jerusalén,1,particion,todo_el_derecho,,,empleador,,,,ley,"החופשה תינתן בחודש האחרון של שנת העבודה שבעדה היא ניתנת, או במשך שנת העבודה שלאחריה (סעיף 6(א)); תאריך תחילת החופשה ייקבע לפחות ארבעה עשר יום מראש (סעיף 9(א)) — la vacacion se dara en el ultimo mes del anio de trabajo por el que corresponde, o durante el anio de trabajo siguiente; la fecha de inicio se fijara con al menos catorce dias de antelacion."
ISR,Jerusalén,1,particion,todo_el_derecho,,,empleador,,,,ley,"[version anterior] The times at which annual leave is granted to an employee shall be determined by his or her employer having regard to work requirements and subject (a) to the employer taking into account (i) the need for the employee to reconcile work and any family responsibilities, (ii) the opportunities for rest and recreation available to the employee, (b) to the employer having consulted the employee or the trade union (if any) of which he or she is a member, not later than 1 month before the day on which the annual leave (...) is due to commence, and (c) to the leave being granted within the leave year to which it relates or, with the consent of the employee, within the 6 months thereafter. (s.20(1))"
ITA,Roma,1,particion,todo_el_derecho,,,empleador,,,,ley,"Ha anche diritto (...) ad un periodo annuale di ferie retribuito, possibilmente continuativo, nel tempo che l'imprenditore stabilisce, tenuto conto delle esigenze dell'impresa e degli interessi del prestatore di lavoro (art. 2109 c.c., comma 2). L'imprenditore deve preventivamente comunicare al prestatore di lavoro il periodo stabilito per il godimento delle ferie (comma 3)."
JPN,Tokio,1,particion,porcion_definida,5.0,,empleador,,,,ley,"労基法39条7項: 使用者は、…有給休暇の日数が十労働日以上である労働者に係る…有給休暇の日数のうち五日については、基準日から一年以内の期間に、労働者ごとにその時季を定めることにより与えなければならない — de los dias de permiso de quien tenga derecho a diez o mas, CINCO los debe conceder el empleador senalando el momento para cada trabajador dentro del ano."
JPN,Tokio,2,particion,residual,,,trabajador,causal_operativa,sin_regla,,ley,"労基法39条5項: 使用者は、前各項の規定による有給休暇を労働者の請求する時季に与えなければならない。ただし、請求された時季に有給休暇を与えることが事業の正常な運営を妨げる場合においては、他の時季にこれを与えることができる — el empleador debe conceder el permiso en el momento que el trabajador pida, salvo que hacerlo entorpezca el funcionamiento normal de la empresa, en cuyo caso puede darlo en otro momento."
KOR,Seúl,1,particion,todo_el_derecho,,,trabajador,causal_operativa,sin_regla,,ley,"사용자는 ... 휴가를 근로자가 청구한 시기에 주어야 하고 ... 다만, 근로자가 청구한 시기에 휴가를 주는 것이 사업 운영에 막대한 지장이 있는 경우에는 그 시기를 변경할 수 있다 — el empleador debe conceder el permiso en el momento que pida el trabajador; solo si concederlo entonces causa un perjuicio grave a la marcha de la empresa puede cambiar la fecha."
MEX,Ciudad de México,1,particion,todo_el_derecho,,,trabajador,ninguno,sin_regla,,ley,a potestad de la persona trabajadora podra ser distribuido en la forma y tiempo que asi lo requiera
