iso3,unidad,version_id,dias_texto_legal,tipo_de_dia,base_semanal_dias,base_semanal_origen,calificacion_meses,rango_min,rango_max,causa_del_rango,base_antiguedad,imputacion_feriados,regla_reconocimiento,vigencia_desde,vigencia_hasta,sector,estado_2016,estado_2026,nivel_fuente_2016,rama_10bis,buscado_en_2016
ARG,Buenos Aires,304,14.0,calendario,,,6,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"InfoLEG, sistema oficial argentino de informacion legislativa, texto actualizado de la Ley de Contrato de Trabajo con sus notas de sustitucion por artículo"
AUS,Sídney,336,4.0,semanas,5,norma,0,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Registro Federal de Legislacion de Australia, dos compilaciones fechadas del Fair Work Act 2009 enfrentadas: C2016C00050, vigente del 1 de enero al 4 de marzo de 2016, y C2026C00355, de 7 de julio de 2026"
AUT,Viena,371,30.0,werktage,6,norma,6,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"RIS, sistema oficial austriaco de informacion juridica, ficha del § 2 de la Urlaubsgesetz en su versión consolidada al día, con su fecha de entrada en vigor"
BEL,Bruselas,400,20.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Guias juridicas belgas sobre las vacaciones legales y el real decreto de 1967, mas los intentos de consulta a la base consolidada oficial"
BGR,Sofía,501,20.0,habil,5,norma,4,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2020-12-18,,privado,,verificado_primaria,,,
BGR,Sofía,502,20.0,habil,5,norma,8,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,2020-12-18,privado,verificado_primaria,,,,
BRA,São Paulo,466,30.0,calendario,,,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Planalto, sitio oficial de legislacion del Gobierno de Brasil, texto de la Consolidacion de las Leyes del Trabajo con sus notas de redaccion por dispositivo"
CAN,Toronto,258,2.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2018-01-01,,privado,,verificado_primaria,,,
CAN,Toronto,259,2.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,2018-01-01,privado,verificado_primaria,,,,
CHE,Zúrich,1618,4.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,Reproduccion del texto del art. 329a del Código de las Obligaciones con su nota de versión oficial
CHL,Santiago,553,15.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Repositorios juridicos chilenos con el texto del art. 67 del Código del Trabajo, y cabecera de la norma en la Biblioteca del Congreso Nacional"
